Record Name,Established,Company Name,Cellar Door Address,T,F,W,Facebook,Twitter,GI Zone,GI Region,All CEO,CEO,All Winemaker,Winemakers,All Sales,All Marketing,Sales & Marketing Manager,Vineyards,Variety used in production,Tonnes Crushed,Cases,Production,Storage Capacity,Fermentation Capacity,Products,Brands,Exports to,Site Facilities,Other Services,Cellar Door Location,URL,ID,SRC,Winery Address,Chief Executives,Formerly,Senior Winemaker/Production,Winemaker,Vineyard Manager (Frankland River),Vineyard Manager (Margaret River),All Restaurant,Cellar Door/Restaurant Manager,Distributors,Winery Location,Chief Executive,All Prod Mgr,Chief Winemaker/Production Manager/Marketing Manager,Vineyard Address,Contract Winemaker,Viticulturist,Vineyard Location,Manager,All Managment,Directors,All Owner,Proprietors,Viticulturist/Production Manager,Office Administration,Partner,Chief Executive Officer,Chief Operations Officer,General Manager Asia Pacific,Group Chief Winemaker,Group White Winemaker,Group Sparkling Winemaker,Group Viticulturist,Group Bulk Wine Trading Manager,Brand PR Executive - Australia,Director,Director/Proprietor,Chief Executive/Owners,Chief Winemaker,Partners,Assistant Winemaker/Viticulturist/Production Manager,Marketing,Owners,Chief Winemaker/Brand & Marketing Manager,Production & Export,Executive Director Marketing,Production Manager,General Manager,Contract Winemaker/Viticulture Consultant,Cellar Door Supervisor,Owner,Assistant Winemaker,Senior Winemaker,Vineyard Manager,Accounts/Marketing,Wholesale,Viticulturist/Production Manager/Marketing,Sales Manager,Brand Manager,Marketing Manager,Export Manager,Consultant Winemaker,Export & National Sales,Sales Director,Viticulturists,Production Manager/Marketing,Managing Director,All Board,Company Secretary,General Manager Operations,Master Distiller,Director Sales & Marketing,Export Manager (UK/Eupart),Human Resources Manager,Consultant Viticulturist,Contract Winemakers,Global Senior Brand Manager - SA Brands,Chief Executive/Owner,Production Manager/Marketing & Sales Manager,Director/General Manager,Finance Manager,Viticulturist & Grower Liaison Officer/Sales & Marketing Manager,Production Manager/Sales & Marketing Manager,Proprietor,Assistant Winemaker/Vineyard Manager,Cellar Door,Manager - Production & Wine Supply,Marketing Director,Sales & Marketing,Viticulturists/Production Managers,Master of Wine
Anderson Hill,1994,"","",0412 499 149,"",www.andersonhill.com.au,Anderson Hill,"",Mount Lofty Ranges,Adelaide Hills,Ben Anderson (Chief Executive),"","","","",Anderson Hill (Brands),"",8 ha,"Cabernet Sauvignon, Sauvignon Blanc, Shiraz, Pinot Noir, Chardonnay",10-19,"",Wine is made off site,"","",table and sparkling wines,Anderson Hill,"","Cafe/Restaurant, Concerts/Festivals, Conferences/Functions, Crafts/Local Produce, Gallery, Picnic facilities, Tours, Tutored tastings","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2625,2625,Winebiz Australia,"407 Croft Road, Lenswood, SA 5240","","","","","","","","","","",Ben Anderson,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Winery,1993,Anderson Pty Ltd,"1619 Chiltern Road, Rutherglen, VIC 3685",(02) 6032 8111,"",www.andersonwinery.com.au,AndersonWinery,@andersonwinery,North East Victoria,Rutherglen,"","","Howard Anderson, Christobelle Anderson (Winemakers), Howard Anderson (Viticulturist)","Howard Anderson, Christobelle Anderson","",Anderson (Brands),"",8.83 ha,"Chardonnay, Chenin Blanc, Durif, Muscat à Petits Grains, Petit Verdot, Saperavi, Shiraz, Tempranillo, Viognier",20-49,"1,500-2,499",Wine is made on site,"112,000 litres","112,000 litres","table, fortified and sparkling wines",Anderson,Sweden,Tutored tastings,"","-36.06532223808417,146.4802086353302",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=42,42,Winebiz Australia,"","","","","","","","","","","","","","","","",Howard Anderson,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andraos Bros Wines,1989,Andraos Bros Pty Ltd,"",(03) 9740 9703,(03) 9740 9795,www.andraosbros.com.au,"","",Port Phillip,Sunbury,Fred Andraos (Chief Executive),"","David Cowburn (Consultant Winemaker), Fred Andraos (Winemaker), Sam Andraos (Viticulturist)","","",Andraos Bros Wines (Brands),"",6 ha,"Shiraz, Sauvignon Blanc, Semillon, Pinot Noir, Riesling, Cabernet Sauvignon, Chardonnay","","",Wine is made on site,"","",table wine,Andraos Bros Wines,"China, Singapore, United Arab Emirates","Cafe/Restaurant, Conferences/Functions, Crafts/Local Produce, Tutored tastings","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=43,43,Winebiz Australia,"160 Vineyard Road, Sunbury, VIC 3429","",Olde Winilba,"",Fred Andraos,"","","","","","-37.6030861,144.71261589999995",Fred Andraos,"","","","",Sam Andraos,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",David Cowburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Peace Wines,1980,Garacama Pty Ltd,"",(03) 5030 5291,(03) 5030 6120,www.apwines.com,AndrewPeaceWines,"",North West Victoria,Swan Hill,Malcolm Peace (Chief Executive),"","Andrew Peace (Chief Winemaker), David King (Winemaker), Frank Mollo (Assistant Winemaker), Rodney Duffy (Viticulturist)","","George Dajczer (Export & National Sales), Andrew Boothroyd (Sales Director)","Andrew Peace Wines, Masterpeace, Mighty Murray, Peace Family Vineyard, Tall Poppy, Blue Sands, Eighth Horse, Winemakers Choice, Australia Felix (Brands)","",287.3 ha,"Cabernet Sauvignon, Chardonnay, Colombard, Crouchen, Durif, Grenache, Malbec, Mataro, Merlot, Muscat Gordo Blanco, Petit Verdot, Pinot Gris, Riesling, Ruby Cabernet, Sagrantino, Sangiovese, Sauvignon Blanc, Semillon, Shiraz, Tempranillo, Verdelho, Viognier","1,000-2,499","20,000-49,999",Wine is made on site,"32,000,000 litres","29,488,920 litres","table, fortified, sparkling and organic wines","Andrew Peace Wines, Masterpeace, Mighty Murray, Peace Family Vineyard, Tall Poppy, Blue Sands, Eighth Horse, Winemakers Choice, Australia Felix","Brazil, Cambodia, Canada, China, Denmark, England, Fiji, Germany, Greece, Hong Kong, Ireland, Japan, Malaysia, Nepal, Poland, Portugal, Samoa, Singapore, Sweden, Taiwan, Thailand, United States, Venezuela, Vietnam","Coffee/Light Meals, Gallery, Picnic facilities, Tours","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=45,45,Winebiz Australia,"4077 Murray Valley Highway, Piangil, VIC 3597","","","",David King,"","","","","","-35.065066,143.33692099999996",Malcolm Peace,Adam Gilbee (Production Manager),"","","",Rodney Duffy,"","","","","","","","","","","","","","","","","","","","","",Andrew Peace,"","","","","","","",Adam Gilbee,"","","","",Frank Mollo,"","","","","","","","",Cathryn Peace,"",George Dajczer,Andrew Boothroyd,,,,,,,,,,,,,,,,,,,,,,,,,,
Angas Plains Wines,1994,Angas Plains Wines Pty Ltd,"317 Angas Plains Road, (off Strathalbyn-Langhorne Creek Road), Langhorne Creek, SA 5255",(08) 8537 3159,(08) 8537 3353,www.angasplainswines.com.au,angasplainswines,"",Fleurieu,Langhorne Creek,Phillip Cross (Chief Executive),"","Peter Douglas (Winemaker), Phillip Cross, Judy Cross (Viticulturists)","","","Angas Plains Estate, PJ's, Brick Red (Brands)","",24.2 ha,"Cabernet Sauvignon, Chardonnay, Shiraz",20-49,"2,500-4,999",Wine is made off site,"","","table, fortified and sparkling wines","Angas Plains Estate, PJ's, Brick Red","China, Hong Kong, Singapore","Cafe/Restaurant, Concerts/Festivals, Conferences/Functions, Crafts/Local Produce, Picnic facilities, Tours","","-35.3082667888847,138.98035526275635",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=46,46,Winebiz Australia,"","","","",Peter Douglas,"","","","","","",Phillip Cross,Judy Cross (Production Manager),"","","","","","",Judy Cross (Director),"","","","","","","","","","","","","","","",Judy Cross,"","","","","","","","","","",Judy Cross,"","","","","","","","","","","","","","","","","","Phillip Cross, Judy Cross",,,,,,,,,,,,,,,,,,,,,,,,,
Angas Vineyards,1997,Angas Vineyards Joint Venture,"",(08) 8537 3337,(08) 8537 3231,"","","",Fleurieu,Langhorne Creek,John Pargeter (Chief Executive),"",Ben Glaetzer (Contract Winemaker),"","","Angas Vineyards, Bushy Road Vineyard, Langhorne Creek Estate (Brands)","",222 ha,"Malbec, Tempranillo, Shiraz, Savagnin, Sangiovese, Roussanne, Pinot Gris, Petit Verdot, Barbera, Marsanne, Arneis, Lagrein, Graciano, Fiano, Dolcetto, Zinfandel, Teroldego, Verdelho, Vermentino, Viognier, Mataro, Cabernet Sauvignon",Less than 10,Less than 999,Wine is made off site,"","",table wine,"Angas Vineyards, Bushy Road Vineyard, Langhorne Creek Estate","Canada, England, United States","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=47,47,Winebiz Australia,"","","","","","","","","","","",John Pargeter,"","","Langhorne Creek Road, Langhorne Creek, SA 5255",Ben Glaetzer,"","-35.30097656894921,139.0164041519165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,
Angelicus Wines,1997,"","Catalano Road (via Lennard Road), Burekup, WA 6227",0429 481 425,"",www.angelicus.com.au,"","",South West Australia,Geographe,"","","John Ward (Winemaker), Ryan Gibbs (Viticulturist)","","","Susan Ward (Production Manager/Marketing), Angelicus, Cleavage, Panis (Brands)","","Burekup, 1.1 ha","Grenache, Shiraz, Tempranillo",Less than 10,Less than 999,Wine is made on site,"5,000 litres","5,000 litres",table wine,"Angelicus, Cleavage, Panis","","Coffee/Light Meals, Gallery","","-33.338411,115.87161400000002",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=48,48,Winebiz Australia,"","","","",John Ward,"","","","","","","",Susan Ward (Production Manager/Marketing),"","","",Ryan Gibbs,"","","","","John Ward, Susan Ward (Owners)","","","","","","","","","","","","","","","","","","","","","John Ward, Susan Ward","","","","","","","","","","","","","","","","","","","","","","",Susan Ward,,,,,,,,,,,,,,,,,,,,,,,,
Anggatha Estate Wines,2007,"","",(02) 4991 2335,"",www.anggatha.com.au,"","",Hunter Valley,"","","","John Bacon, Lyndall Bacon (Winemakers), Lyndall Bacon (Viticulturist)","John Bacon, Lyndall Bacon","",Anggatha Estate (Brands),"","Mount View, 5 ha","Cabernet Sauvignon, Sangiovese, Shiraz, Chardonnay, Semillon",Less than 10,Less than 999,Wine is made on site,"10,000 litres","10,000 litres","table, fortified and sparkling wines",Anggatha Estate,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=49,49,Winebiz Australia,"King Road, Mount View, NSW 2325","","","","","","","","","","-32.8481729,151.2617414","","","","","",Lyndall Bacon,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
Angove Family Winemakers,1886,Angove's Pty Ltd,"",(08) 8580 3100,(08) 8580 3155,www.angove.com.au,angovewine,@AngoveWine,Fleurieu + Lower Murray,McLaren Vale + Riverland,"","","Tony Ingle (Chief Winemaker), Paul Kernich (Senior Winemaker), Ben Horley (Master Distiller), Amelia Hildebrand (Winemaker), Nick Bakkum (Viticulturist)","",Tim Boydell (Director Sales & Marketing),"Tim Boydell (Director Sales & Marketing), Matt Redin (Marketing Manager), Angove Family Winemakers, The Medhyk, Warboys, Family Crest, Vineyard Select, Alternatus, Wild Olive, Cross Stitch, Nine Vines, Long Row, Butterfly Ridge, Avior, Studio Series, Chalk Hill Blue, Bookmark, Bear Crossing, St Agnes, Stone's Ginger Wine, Sugar & Spice (Brands)","","McLaren Vale, 9.09 ha; Renmark, 310.96 ha","Biancone, Cabernet Franc, Cabernet Sauvignon, Carignan, Chardonnay, Chenin Blanc, Colombard, Doradillo, Fiano, Grenache, Malbec, Mataro, Merlot, Muscat à Petits Grains, Muscat Gordo Blanco, Palomino, Petit Verdot, Pinot Gris, Pinot Noir, Riesling, Sangiovese, Sauvignon Blanc, Semillon, Shiraz, Sylvaner, Tempranillo, Traminer, Verdelho, Vermentino, Viognier","10,000-19,999","500,000-1,499,999",Wine is made on site,"20,000,000 litres","","table, fortified, sparkling and organic wines","Angove Family Winemakers, The Medhyk, Warboys, Family Crest, Vineyard Select, Alternatus, Wild Olive, Cross Stitch, Nine Vines, Long Row, Butterfly Ridge, Avior, Studio Series, Chalk Hill Blue, Bookmark, Bear Crossing, St Agnes, Stone's Ginger Wine, Sugar & Spice","Austria, Belgium-Luxembourg, Brazil, Canada, China, Cook Islands, Czech Republic, Denmark, England, Estonia, Fiji, Finland, France, Germany, Hong Kong, India, Indonesia, Ireland, Israel, Japan, Kenya, Macau, Malaysia, Mexico, Nepal, New Zealand, Norway, Papua New Guinea, Philippines, Poland, Portugal, Russia, Samoa, Scotland, Singapore, Solomon Islands, South Korea, Sri Lanka, Sweden, Switzerland, Taiwan, Thailand, The Bahamas, The Netherlands, United Arab Emirates, United States, Vanuatu, Vietnam, Wales, Zimbabwe","Coffee/Light Meals, Crafts/Local Produce, Historical buildings, Picnic facilities, Tutored tastings","Bottling, Contract Winemaking, Viticulture Consulting","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=50,50,Winebiz Australia,"Bookmark Avenue, Renmark, SA 5341","","","",Amelia Hildebrand,"","","","","EuroVintage, NZ","-34.182741,140.72111399999994","","","","","",Nick Bakkum,"","","John Angove (Managing Director), Jim Godden (General Manager Operations), Tim Boydell (Director Sales & Marketing)","","","","","","","","","","","","","","","","","","",Tony Ingle,"","","","","","","","","","","","","",Paul Kernich,"","","","","","",Matt Redin,Mark Ramm,"","","","","",John Angove,A J Coombe (Company Secretary),A J Coombe,Jim Godden,Ben Horley,Tim Boydell,Jonathan O'Neill,Joanne Stone,,,,,,,,,,,,,,,,
Angullong Vineyard,1998,Angullong Management Pty Ltd,"","(02) 6366 4300, 0428 586 802",(02) 6366 4399,www.angullong.com.au,angullong,@angullongwines,Central Ranges,Orange,"","","Liz Jackson (Contract Winemaker), Jon Reynolds (Consultant Winemaker), Tim Esson (Consultant Viticulturist)","","","Angullong, Fossil Hill, Taplow Maze (Brands)","","Panuara, 203.6 ha","Barbera, Cabernet Sauvignon, Chardonnay, Marsanne, Merlot, Pinot Gris, Riesling, Sagrantino, Sangiovese, Sauvignon Blanc, Savagnin, Shiraz, Tempranillo, Verdelho, Vermentino, Viognier",100-249,"10,000-19,999",Wine is made off site,"","",table and sparkling wines,"Angullong, Fossil Hill, Taplow Maze","Denmark, Finland",Historical buildings,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=51,51,Winebiz Australia,"","","","","","","","","",Cogito Wines,"","","","","Four Mile Creek Road, Panuara, via Orange, NSW 2800",Liz Jackson,"","-33.554955,148.876394","",Ben Crossing (General Manager),"","","","","","","","","","","","","","","","","","","","","","","","","","","",Ben Crossing,"","","","","",James Crossing,"","","","","","","",Jon Reynolds,"","","","","","","","","","","","",Tim Esson,,,,,,,,,,,,,,,
Annapurna Wines,1989,Annapurna Wines Pty Ltd,"217 Simmonds Creek Road, Tawonga South, VIC 3698",(03) 5754 4517,(03) 5754 4517,www.annapurnaestate.com.au,"","",North East Victoria,Alpine Valleys,Ezio Minutello (Chief Executive),"","Ezio Minutello (Winemaker), Ezio Minutello (Viticulturist/Production Manager)","","",Annapurna Estate (Brands),"","Mount Beauty, 12.5 ha","Shiraz, Merlot, Cabernet Sauvignon, Chardonnay, Pinot Noir, Pinot Gris",100-249,"10,000-19,999",Wine is made on site,"","","table, fortified, sparkling and organic wines",Annapurna Estate,"Canada, China, Denmark, England, Fiji, Hong Kong, The Netherlands","Cafe/Restaurant, Concerts/Festivals, Conferences/Functions, Tutored tastings","Contract Winemaking, Viticulture Consulting","-36.751935,147.14840900000001",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=53,53,Winebiz Australia,"","","","",Ezio Minutello,"","","","","","",Ezio Minutello,Ezio Minutello (Viticulturist/Production Manager),"","","","","","","","","","",Ezio Minutello,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,
Anna's Vineyard,2001,Stehr Group Pty Ltd,"",0409 499 046,(08) 8682 1135,www.annasvineyard.com,"","",The Peninsulas,"","Anna Stehr, Yasmin Stehr (Chief Executives)","","David O'Leary, Nick Walker (Contract Winemakers)","","",Anna's Vineyard (Brands),"",0.4 ha,Shiraz,Less than 10,Less than 999,Wine is made off site,"","",table and organic wines,Anna's Vineyard,"England, Scotland, United States","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2770,2770,Winebiz Australia,"","Anna Stehr, Yasmin Stehr","","","","","","","","","","","","","Proper Bay Road, Port Lincoln, SA 5606","","","-34.7562876,135.84075710000002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","David O'Leary, Nick Walker",,,,,,,,,,,,,,
Anniebrook Wines,1986,"","247 Wildwood Road, Carbunup River, WA 6280",(08) 9755 1155,(08) 9755 1138,www.anniebrook.com.au,"","",South West Australia,Margaret River,"","",Simon Ding (Contract Winemaker),"","",Anniebrook Wines (Brands),"",6.85 ha,"Tempranillo, Shiraz, Semillon, Sauvignon Blanc, Chardonnay, Cabernet Franc",20-49,"",Wine is made off site,"","",fortified wine,Anniebrook Wines,"","Crafts/Local Produce, Gallery, Picnic facilities","","-33.699908,115.16002500000002",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=55,55,Winebiz Australia,"","","","","","","","","","","","","","","",Simon Ding,"","","","","","Wally Lewis, Dawn Lewis (Owners)","","","","","","","","","","","","","","","","","","","","","Wally Lewis, Dawn Lewis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,
Annie's Lane,1863,Treasury Wine Estates,"Quelltaler Road (PO Box 10), Watervale, SA 5452",(08) 8843 2320,(08) 8843 0096,www.annieslane.com.au,"","","","","","",Alex MacKenzie (Winemaker),"","","Emily White (Global Senior Brand Manager - SA Brands), Annie's Lane (Brands)","","","","","",Wine is made off site,"","",table and sparkling wines,Annie's Lane,"Canada, China, England, Italy, Nepal, Portugal, Singapore, United States","Concerts/Festivals, Gallery, Picnic facilities","","-33.95468249380298,138.653501261438",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=54,54,Winebiz Australia,"","",Quelltaler Estate,"",Alex MacKenzie,"","","","",Treasury Wine Estates,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Frank Armfield,"","","","","","","","","","","","","","","","","","","","","","",Emily White,,,,,,,,,,,,,
Ansted&Co.,2008,"","",0409 665 005,"",www.anstedandco.com.au,"","","","","","",Tobias Ansted (Winemaker),"","",ANSTED&CO. (Brands),"","","Marsanne, Shiraz, Viognier",Less than 10,Less than 999,Wine is made off site,"","",table wine,ANSTED&CO.,"Canada, China","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=4527,4527,Winebiz Australia,"11 Flood Street, Bendigo, VIC 3550","","","",Tobias Ansted,"","","","","","-36.748918,144.27820599999995","","","","","","","","","","",Tobias Ansted (Owner),"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Tobias Ansted,"","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,
Antcliff's Chase Wines,1982,"","",(03) 5790 4333,(03) 5790 4333,www.antcliffschasewines.com,"","",Central Victoria,Strathbogie Ranges,"","","Christopher Bennett (Winemaker), Christopher Bennett (Viticulturist/Production Manager)","","",Antcliff's Chase Wines (Brands),"","Caveat, 4.5 ha","Cabernet Franc, Cabernet Sauvignon, Chardonnay, Lagrein, Merlot, Pinot Noir, Riesling",10-19,Less than 999,Wine is made on site,"5,000 litres","5,000 litres",table wine,Antcliff's Chase Wines,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=57,57,Winebiz Australia,"535 Caveat-Dropmore Road, Caveat, via Seymour, VIC 3660","","","",Christopher Bennett,"","","","","","-37.051904,145.50326599999994","",Christopher Bennett (Viticulturist/Production Manager),"","","","","","","","","Christopher Bennett, Susan Bennett (Owners)","",Christopher Bennett,"","","","","","","","","","","","","","","","","","","Christopher Bennett, Susan Bennett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,
Anvers Wines,1998,Anvers Wines Pty Ltd,"",(08) 8374 1787,(08) 8374 2102,www.anvers.com.au,Anvers Wines,@AnversWines,Adelaide,"","","","","","",Anvers (Brands),"",16.26 ha,"Cabernet Sauvignon, Chardonnay, Sauvignon Blanc, Shiraz, Viognier",100-249,"10,000-19,999",Wine is made off site,"","","table, fortified and sparkling wines",Anvers,"Belgium-Luxembourg, Canada, China, England, Germany, Hong Kong, Singapore, Taiwan",Conferences/Functions,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=58,58,Winebiz Australia,"","","","","","","","","",Five Star Wines,"","","","","633 Razorback Road, Kangarilla, SA 5157","","","-35.134936,138.70182599999998","",Wayne Keoghan (Managing Director),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Wayne Keoghan,"","","","","","","","","","",,,,,,,,,,,,,
Apogee Tasmania,2007,"","",(03) 6395 6358,"",www.apogeetasmania.com,"","",Tasmania,"",Andrew Pirie (Chief Executive/Owner),"","","","",APOGEE (Brands),"",1.99 ha,"Chardonnay, Pinot Noir, Meunier",Less than 10,Less than 999,Wine is made off site,"","",table and sparkling wines,APOGEE,"",Tutored tastings,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=5123,5123,Winebiz Australia,"","","","","","","","","","","","","","","1083 Golconda Road, Lebrina, TAS 7254","","","","","","",Andrew Pirie (Chief Executive/Owner),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Andrew Pirie,,,,,,,,,,,,
Apsley Gorge Vineyard,1989,"","",(03) 6375 1221,(03) 6375 1589,www.apsleygorgevineyard.com.au,"","",Tasmania,"",Brian Franklin (Chief Executive),"","Brian Franklin (Winemaker), Brian Franklin (Viticulturist/Production Manager)","","",Apsley Gorge (Brands),"",7 ha,"Pinot Noir, Chardonnay",20-49,"1,500-2,499",Wine is made on site,"10,000 litres","10,000 litres",table wine,Apsley Gorge,England,Coffee/Light Meals,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=59,59,Winebiz Australia,"'The Gulch', Bicheno, TAS 7215","","","",Brian Franklin,"","","","","Mezzanine, VIC, NSW, QLD, WA; Domaine Wine Shippers, TAS","-41.8746137,148.30371030000003",Brian Franklin,Brian Franklin (Viticulturist/Production Manager),"","","","","","","","","","",Brian Franklin,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,
APW International,2004,APW International Pty Ltd,"40 View Street, Alphington, VIC 3078","(03) 9380 8699, 0411 497 871",(03) 9380 8101,www.apw.com.au,"","","","",Russell Badham (Chief Executive),"",Gavin Hogg (Winemaker),"","","Australian Legend, Australian Legend Reserve (Brands)","","","Cabernet Sauvignon, Chardonnay, Shiraz","","",Wine is made off site,"","",table wine,"Australian Legend, Australian Legend Reserve","Canada, China, Ireland, Singapore, Taiwan","","","-37.782508,145.031202",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2780,2780,Winebiz Australia,"","","","",Gavin Hogg,"","","","","","",Russell Badham,"","","","","","","",Keith Beamish (Director),"","","","","","","","","","","","","","","",Keith Beamish,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,
Arakoon Wines,1999,Ibis Manufacturing Pty Ltd,"",(08) 8323 7339,"",www.arakoonwines.com.au,"","","","",Raymond Jones (Chief Executive),"","Raymond Jones (Winemaker), Kerry Robertson (Assistant Winemaker)","","",Arakoon (Brands),"","","Cabernet Sauvignon, Chardonnay, Grenache, Mataro, Shiraz, Viognier",20-49,"2,500-4,999",Wine is made on site,"12,000 litres","15,000 litres",table wine,Arakoon,"Belgium-Luxembourg, China, Denmark, Singapore, Sweden","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=60,60,Winebiz Australia,"Unit 7, 229 Main Road, McLaren Vale, SA 5171","","","",Raymond Jones,"","","","","Rob's Wines, VIC","-35.2122093,138.53234399999997",Raymond Jones,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Kerry Robertson,"","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,
Aramis Vineyards,1998,Aramis Vineyards Pty Ltd,"",(08) 8238 0000,(08) 8234 0485,www.aramisvineyards.com,"","",Fleurieu,McLaren Vale,"","",Scott Rawlinson (Chief Winemaker),"","","Amy White (Marketing Manager), Aramis Vineyards (Brands)","",26 ha,"Riesling, Shiraz, Cabernet Sauvignon, Sauvignon Blanc",100-249,"5,000-9,999",Wine is made off site,"","",table and organic wines,Aramis Vineyards,"Canada, China, Denmark, Hong Kong, Indonesia, Japan, Malaysia, Singapore, United States, Vietnam",Tutored tastings,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=61,61,Winebiz Australia,"","","","","","","","","",L'Atelier by Aramis Vineyards,"","","","","Main South Road, Aldinga, SA 5173","","","-35.2661672,138.48625319999996","",Lee Flourentzou (Managing Director),"","","","","","","","","","","","","","","","","","",Scott Rawlinson,"","","","","","","","","","","","","","","","","","","","",Amy White,"","","","","","",Lee Flourentzou,"","","","","","","","","","","",,,,,,,,,,,,
Aravina Estate,1986,The Aravina Trust,"Corner Thornton & Wildwood Roads, Yallingup, WA 6282",(08) 9750 1111,(08) 9750 1155,www.aravinaestate.com,AravinaEstate,"",South West Australia,Margaret River,"","",Jodie Opie (Winemaker),"",Blair Hill (Production Manager/Marketing & Sales Manager),"Blair Hill (Production Manager/Marketing & Sales Manager), Aravina Estate (Brands)","","Yallingup, 29.05 ha","Cabernet Sauvignon, Chardonnay, Chenin Blanc, Malbec, Merlot, Sauvignon Blanc, Semillon, Shiraz, Tempranillo, Vermentino",100-249,"10,000-19,999",Wine is made off site,"","",table and sparkling wines,Aravina Estate,"China, Indonesia","Cafe/Restaurant, Conferences/Functions, Crafts/Local Produce, Gallery","","-33.70317221374144,115.07767796516418",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=36,36,Winebiz Australia,"","",Amberly Estate,"",Jodie Opie,"","","","","Grape Expectations, WA; Bottle in Hand, other states","","",Blair Hill (Production Manager/Marketing & Sales Manager),"","","","","","","","",Steve Tobin (Owner),"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Steve Tobin,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Blair Hill,,,,,,,,,,,
